14.09,KUANTAN SINGINGI
14.09.11.2008,Banjar Nan Tigo
14.09.11.2009,Pulau Sipan
14.09.11.2010,Pulau Busuk Jaya
14.09.11.2011,Seberang Pulau Busuk
14.09.11.2012,Lebuh Lurus
14.09.11.2013,Kampung Baru Koto
14.09.11.2014,Ketaping Jaya
14.09.12,Hulu Kuantan
14.09.12.2001,Lubuk Ambacang
14.09.12.2002,Sungai Kelelawar
14.09.12.2003,Tanjung
14.09.12.2004,Sungai Pinang
14.09.12.2005,Sungai Alah
14.09.12.2006,Koto Kombu
14.09.12.2007,Sumpu
14.09.12.2008,Mudik Ulo
14.09.12.2009,Inuman
14.09.12.2010,Tanjung Medang
14.09.12.2011,Serosa
14.09.12.2012,Sampurago
14.09.13,Kuantan Hilir Seberang
14.09.13.2001,Pulau Baru
14.09.13.2002,Pulau Beralo
14.09.13.2003,Pulau Kulur
14.09.13.2004,Pelukahan
14.09.13.2005,Pengalihan
14.09.13.2006,Lumbok
14.09.13.2007,Teratak Jering
14.09.13.2008,Tanjung Pisang
14.09.13.2009,Danau
14.09.13.2010,Kasang Limau Sundai
14.09.13.2011,Koto Rajo
14.09.13.2012,Tanjung
14.09.13.2013,Sungai Sorik
14.09.13.2014,Rawang Oguang
14.09.14,Sentajo Raya
14.09.14.2001,Pulau Komang Sentajo
14.09.14.2002,Muaro Sentajo
14.09.14.2003,Koto Sentajo
14.09.14.2004,Kampung Baru Sentajo
14.09.14.2005,Pulau Kopung Sentajo
14.09.14.2006,Teratak Air Hitam
14.09.14.2007,Seberang Teratak Air Hitam
14.09.14.2008,Parit Teratak Air Hitam
14.09.14.2009,Jalur Patah
14.09.14.2010,Geringging Baru
14.09.14.2011,Marsawa
14.09.14.2012,Langsat Hulu
14.09.14.2013,Muara Langsat
14.09.14.2014,Geringging Jaya
14.09.14.1015,Beringin Jaya
14.09.15,Pucuk Rantau
14.09.15.2001,Perhentian Sungkai
14.09.15.2002,Ibul
14.09.15.2003,Muara Petai
14.09.15.2004,Pangkalan
14.09.15.2005,Sungai Besar
14.09.15.2006,Setiang
14.09.15.2007,Muaro Tiu Makmur
14.09.15.2008,Muara Tobek
14.09.15.2009,Sungai Besar Hilir
14.09.15.2010,Kampung Baru Ibul
14.02,INDRAGIRI HULU
14.02.01,Rengat
14.02.01.2001,Sungai Guntung Tengah
14.02.01.2002,Sungai Guntung Hilir
14.02.01.2003,Kuantan Babu
14.02.01.1004,Kampung Dagang
14.02.01.2005,Kampung Pulau
14.02.01.1006,Pasar Kota
14.02.01.1007,Kampung Besar Kota
14.02.01.1008,Sekip Hulu
14.02.01.2009,Sungai Beringin
14.02.01.2010,Pasir Kemilu
14.02.01.1011,Kmp Besar Seberang
14.02.01.2012,Rantau Mapesai
14.02.01.2013,Pulau Gajah
14.02.01.2014,Sungai Raya
14.02.01.1018,Sekip Hilir
14.02.01.2023,Rawa Bangun
14.02.02,Rengat Barat
14.02.02.2001,Barangan
14.02.02.2002,Alang Kepayang
14.02.02.2003,Kota Lama
14.02.02.2004,Redang
14.02.02.2005,Pekan Heran
14.02.02.2006,Rantau Bakung
14.02.02.2007,Talang Jerinjing
14.02.02.2008,Sialang Dua Dahan
14.02.02.1009,Pematang Reba
14.02.02.2010,Sungai Dawu
14.02.02.2011,Bukit Petaling
14.02.02.2012,Pematang Jaya
14.02.02.2013,Danau Baru
14.02.02.2014,Tanah Datar
14.02.02.2015,Tani Makmur
14.02.02.2016,Sungai Baung
14.02.02.2017,Danau Tiga
14.02.02.2018,Air Jernih
14.02.03,Kelayang
14.02.03.2007,Pulau Sengkilo
14.02.03.2008,Kota Medan
14.02.03.2009,Simpang Kota Medan
14.02.03.2010,Polak Pisang
14.02.03.2018,Pelangko
14.02.03.1019,Simpang Kelayang
14.02.03.2020,Teluk Sejuah
14.02.03.2021,Bongkal Malang
14.02.03.2022,Dusun Tua
14.02.03.2024,Sungai Banyak Ikan
14.02.03.2025,Tanjung Beludu
14.02.03.2026,Sungai Pasir Putih
14.02.03.2027,Sungai Golang
14.02.03.2028,Pasir Beringin
14.02.03.2029,Sungai Kuning Benio
14.02.03.2030,Bukit Selanjut
14.02.03.2031,Dusun Tua Pelang
14.02.04,Pasir Penyu
14.02.04.2006,Petalongan
14.02.04.1007,Air Molek
14.02.04.2008,Air Molek II
14.02.04.2009,Pasir Keranji
14.02.04.2016,Jati Rejo
14.02.04.2017,Batu Gajah
14.02.04.2018,Candi Rejo
14.02.04.2019,Lembah Dusun Gading
14.02.04.1020,Kembang Harum
14.02.04.2030,Serumpun Jaya
14.02.04.1031,Tanjung Gading
14.02.04.1032,Sekar Mawar
14.02.04.1033,Tanah Merah
14.02.05,Peranap
14.02.05.2003,Semelinang Tebing
14.02.05.2004,Gumanti
14.02.05.1005,Peranap
14.02.05.2007,Batu Rijal Hulu
14.02.05.1008,Batu Rijal Hilir
14.02.05.2009,Semelinang Darat
14.02.05.2010,Pauh Ranap
14.02.05.2012,Serai Wangi
14.02.05.2013,Pandan Wangi
14.02.05.2017,Katipo Pura
14.02.05.2019,Batu Rijal Barat
14.02.05.2020,Setako Raya
14.02.06,Siberida
14.02.06.1001,Pangkalan Kasai
14.02.06.2002,Kelesa
14.02.06.2003,Beligan
14.02.06.2004,Seresam
14.02.06.2005,Paya Rumbai
14.02.06.2006,Bukit Meranti
14.02.06.2007,Buluh Rampai
14.02.06.2008,Titian Resak
14.02.06.2009,Petala Bumi
14.02.06.2010,Sibabat
14.02.06.2011,Bandar Padang
14.02.07,Batang Cenaku
14.02.07.2002,Anak Talang
14.02.07.2004,Bukit Lingkar
14.02.07.2005,Bukit Lipai
14.02.07.2006,Kuala Gading
14.02.07.2007,Kuala Kilan
14.02.07.2008,Kerubung Jaya
14.02.07.2009,Pejangki
14.02.07.2010,Pematang Manggis
14.02.07.2011,Sipang
14.02.07.2012,Talang Bersemi
14.02.07.2013,Talang Mulya
14.02.07.2014,Punti Anai
14.02.07.2015,Petaling Jaya
14.02.07.2017,Cenaku Kecil
14.02.07.2018,Alim
14.02.07.2019,Aur Cina
14.02.07.2020,Lahai Kemuning
14.02.07.2021,Kepayang Sari
14.02.07.2022,Batu Papan
14.02.07.2023,Sanglap
14.02.08,Batang Gangsal
14.02.08.2001,Siambul
14.02.08.2002,Rantai Langsat
14.02.08.2003,Sungai Akar
14.02.08.2004,Usul
14.02.08.2005,Seberida
14.02.08.2006,Talang Lakat
14.02.08.2007,Belimbing
14.02.08.2008,Ringin
14.02.08.2010,Penyaguan
14.02.08.2011,Danau Rambai
14.02.09,Lirik
14.02.09.2001,Japura
14.02.09.2002,Sidomulyo
14.02.09.2003,Pasir Ringgit
14.02.09.2004,Gudang Batu
14.02.09.2005,Sungai Sagu
14.02.09.2006,Lirik Area
14.02.09.2007,Rejosari
14.02.09.2008,Lambang Sari V
14.02.09.2009,Lambang Sari IV
14.02.09.2010,"Lambang Sari I, II, III"
14.02.09.2011,Wonosari
14.02.09.2012,Seko Lubuk Tigo
14.02.09.2013,Banjar Balam
14.02.09.2014,Redang Seko
14.02.09.2015,Sukajadi
14.02.09.2016,Mekar Sari
14.02.09.2017,Pasir Sialang Jaya
14.02.10,Kuala Cenaku
14.02.10.2001,Tambak
14.02.10.2002,Kuala Cenaku
14.02.10.2003,Pulau Gelang
14.02.10.2004,Kuala Mulya
14.02.10.2005,Tanjung Sari
14.02.10.2006,Rawa Sekip
14.02.10.2007,Rawa Asri
14.02.10.2008,Suka Jadi
14.02.10.2009,Teluk Sungkai
14.02.10.2010,Pulau Jum'at
14.02.11,Sungai Lala
14.02.11.2001,Morong
14.02.11.2002,Pasir Bongkal
14.02.11.2003,Pasir Selabau
14.02.11.2004,Pasir Batu Mandi
14.02.11.2005,Pasir Kelampaian
14.02.11.2006,Kuala Lala
14.02.11.2007,Sungai Lala
14.02.11.2008,Kelawat
14.02.11.2009,Perkebunan Sungai Parit
14.02.11.2010,Perkebunan Sungai Lala
14.02.11.2011,Tanjung Danau
14.02.11.2012,Sungai Air Putih
14.02.12,Lubuk Batu Jaya
14.02.12.2001,Rimpian
14.02.12.2002,Pondok Gelugur
14.02.12.2003,Lubuk Batu Tinggal
14.02.12.2004,Sungai Beras Hilir
14.02.12.2005,Kulim Jaya
14.02.12.2006,Sungai Beras Beras
14.02.12.2007,Tasik Juang
14.02.12.2008,Pontian Mekar
14.02.12.2009,Air Putih
14.02.13,Rakit Kulim
14.02.13.2001,Tujuh Buah Tangga
14.02.13.2002,Talang Durian Cacar
14.02.13.2003,Talang Selantai
14.02.13.2004,Talang Perigi
14.02.13.2005,Kuantan Tenang
14.02.13.2006,Kota Baru
14.02.13.2007,Rimba Seminai
14.02.13.2008,Kelayang
14.02.13.2009,Talang Gedabu
14.02.13.2010,Talang Sungai Limau
14.02.13.2011,Talang Sungai Parit
14.02.13.2012,Batu Sawar
14.02.13.2013,Petonggan
14.02.13.2014,Lubuk Sitarak
14.02.13.2015,Bukit Indah
14.02.13.2016,Sungai Ekok
14.02.13.2017,Talang Suka Maju
14.02.13.2018,Kampung Bunga
14.02.13.2019,Talang Pring Jaya
14.02.14,Batang Peranap
14.02.14.2001,Pesajian
14.02.14.2002,Punti Kayu
14.02.14.2003,Pematang
14.02.14.2004,Selunak
14.02.14.2005,Suka Maju
14.02.14.2006,Pematang Benteng
14.02.14.2007,Sencano Jaya
14.02.14.2008,Sungai Aur
14.02.14.2009,Peladangan
14.02.14.2010,Koto Tuo
13.03,SIJUNJUNG
13.03.04,Sijunjung
13.03.04.2009,Sijunjung
